iter	Passed	Remaining
0	0	858
1	1	804
2	2	775
3	3	763
4	3	750
5	4	738
6	5	727
7	5	718
8	6	713
9	7	707
10	7	705
11	8	702
12	9	740
13	10	736
14	11	737
15	11	735
16	12	731
17	13	725
18	13	721
19	14	716
20	15	712
21	16	715
22	16	712
23	17	710
24	18	714
25	19	719
26	20	728
27	20	726
28	21	724
29	22	721
30	22	718
31	23	714
32	24	711
33	24	708
34	25	705
35	26	702
36	27	703
37	27	702
38	28	700
39	29	697
40	29	694
41	30	700
42	31	700
43	32	699
44	32	697
45	33	695
46	34	693
47	34	691
48	35	689
49	36	687
50	36	685
51	37	683
52	38	681
53	38	679
54	39	677
55	40	674
56	40	675
57	41	678
58	42	677
59	43	678
60	43	677
61	44	676
62	45	675
63	46	674
64	46	673
65	47	672
66	48	671
67	48	670
68	49	668
69	50	667
70	50	665
71	51	668
72	52	668
73	53	667
74	54	666
75	54	664
76	55	663
77	55	661
78	56	660
79	57	659
80	57	657
81	58	658
82	59	657
83	60	656
84	60	654
85	61	653
86	62	655
87	63	656
88	63	654
89	64	653
90	65	652
91	65	650
92	66	649
93	67	647
94	67	646
95	68	645
96	69	643
97	69	642
98	70	641
99	71	639
100	71	638
101	72	637
102	73	639
103	74	639
104	74	638
105	75	637
106	76	636
107	77	636
108	77	635
109	78	634
110	79	633
111	79	632
112	80	631
113	81	630
114	81	628
115	82	627
116	83	627
117	84	627
118	84	627
119	85	626
120	86	625
121	86	624
122	87	623
123	88	621
124	88	620
125	89	619
126	89	618
127	90	618
128	91	617
129	92	616
130	92	615
131	93	614
132	94	616
133	95	616
134	95	615
135	96	614
136	97	612
137	97	611
138	98	610
139	99	610
140	100	609
141	100	608
142	101	607
143	101	606
144	102	605
145	103	604
146	103	603
147	104	603
148	105	603
149	106	602
150	107	601
151	107	600
152	108	599
153	109	599
154	109	598
155	110	597
156	111	596
157	111	595
158	112	594
159	112	593
160	113	592
161	114	591
162	115	591
163	116	591
164	116	590
165	117	589
166	118	590
167	118	589
168	119	588
169	120	587
170	120	586
171	121	585
172	122	584
173	122	583
174	123	582
175	124	581
176	124	580
177	125	580
178	126	580
179	127	579
180	127	578
181	128	579
182	129	578
183	130	577
184	130	576
185	131	575
186	132	574
187	132	573
188	133	572
189	134	571
190	134	570
191	135	569
192	136	569
193	137	569
194	137	568
195	138	567
196	139	566
197	139	566
198	140	565
199	141	564
200	141	563
201	142	562
202	143	561
203	143	560
204	144	559
205	145	558
206	145	557
207	146	557
208	147	557
209	148	556
210	148	556
211	149	555
212	149	554
213	150	553
214	151	552
215	151	551
216	152	550
217	153	549
218	153	549
219	154	548
220	155	547
221	155	546
222	156	545
223	157	545
224	158	545
225	158	544
226	159	543
227	160	542
228	160	541
229	161	540
230	162	540
231	162	539
232	163	538
233	164	537
234	164	536
235	165	535
236	166	534
237	166	534
238	167	533
239	168	533
240	169	532
241	169	531
242	170	531
243	171	530
244	171	529
245	172	528
246	173	527
247	173	526
248	174	526
249	175	525
250	175	524
251	176	523
252	176	522
253	177	521
254	178	520
255	178	520
256	179	519
257	180	518
258	180	517
259	181	516
260	182	516
261	182	515
262	183	514
263	184	513
264	184	512
265	185	512
266	186	511
267	186	510
268	187	509
269	188	509
270	188	508
271	189	507
272	190	506
273	190	505
274	191	505
275	192	504
276	192	503
277	193	502
278	194	501
279	194	501
280	195	500
281	196	499
282	196	498
283	197	497
284	198	497
285	198	496
286	199	495
287	200	494
288	200	493
289	201	493
290	202	492
291	202	491
292	203	490
293	204	490
294	204	489
295	205	488
296	206	487
297	206	486
298	207	486
299	207	485
300	208	484
301	209	483
302	209	482
303	210	481
304	211	481
305	211	480
306	212	479
307	213	478
308	213	477
309	214	476
310	214	476
311	215	475
312	216	474
313	216	473
314	217	472
315	218	472
316	218	471
317	219	470
318	220	469
319	220	468
320	221	468
321	222	467
322	222	466
323	223	466
324	224	465
325	224	464
326	225	463
327	225	462
328	226	462
329	227	461
330	227	460
331	228	459
332	229	458
333	229	458
334	230	457
335	231	456
336	231	456
337	232	455
338	233	454
339	233	453
340	234	452
341	234	452
342	235	451
343	236	450
344	236	449
345	237	449
346	238	448
347	238	447
348	239	446
349	240	445
350	240	445
351	241	444
352	242	443
353	242	442
354	243	442
355	244	441
356	244	440
357	245	439
358	245	439
359	246	438
360	247	437
361	248	437
362	248	436
363	249	435
364	250	435
365	250	434
366	251	433
367	252	433
368	252	432
369	253	431
370	254	431
371	254	430
372	255	429
373	256	428
374	256	428
375	257	427
376	258	426
377	258	425
378	259	425
379	260	424
380	260	423
381	261	423
382	262	422
383	262	421
384	263	420
385	264	420
386	264	419
387	265	418
388	266	418
389	266	417
390	267	416
391	268	415
392	268	415
393	269	414
394	270	413
395	270	413
396	271	412
397	272	411
398	272	410
399	273	410
400	274	409
401	274	408
402	275	408
403	276	407
404	276	406
405	277	405
406	278	405
407	278	404
408	279	403
409	279	402
410	280	402
411	281	401
412	281	400
413	282	399
414	283	399
415	283	398
416	284	397
417	285	396
418	285	396
419	286	395
420	287	394
421	287	394
422	288	393
423	288	392
424	289	391
425	290	391
426	290	390
427	291	389
428	292	388
429	292	388
430	293	387
431	294	386
432	294	385
433	295	385
434	296	384
435	296	383
436	297	383
437	298	382
438	298	381
439	299	381
440	300	380
441	300	379
442	301	378
443	301	378
444	302	377
445	303	377
446	304	376
447	305	376
448	306	376
449	307	375
450	308	375
451	309	374
452	309	374
453	310	373
454	311	373
455	312	372
456	313	372
457	314	371
458	315	371
459	315	370
460	316	370
461	317	369
462	319	370
463	320	369
464	321	369
465	322	369
466	323	368
467	324	368
468	324	367
469	325	367
470	326	366
471	327	366
472	328	366
473	329	365
474	330	365
475	332	365
476	333	365
477	335	366
478	336	365
479	337	365
480	338	365
481	339	364
482	340	364
483	341	363
484	342	363
485	343	363
486	344	362
487	345	362
488	347	363
489	350	364
490	352	365
491	354	365
492	355	366
493	357	366
494	361	368
495	362	368
496	363	368
497	364	367
498	365	367
499	367	367
500	368	367
501	370	367
502	372	367
503	374	368
504	375	368
505	377	368
506	381	371
507	385	373
508	389	375
509	390	374
510	391	374
511	392	374
512	393	374
513	395	373
514	396	373
515	397	372
516	398	372
517	399	371
518	400	371
519	401	370
520	403	370
521	404	370
522	405	369
523	406	369
524	408	369
525	409	369
526	410	368
527	411	368
528	412	367
529	413	367
530	414	366
531	415	365
532	416	365
533	417	364
534	419	364
535	420	363
536	421	363
537	422	362
538	424	362
539	425	362
540	427	362
541	428	362
542	429	361
543	430	361
544	432	360
545	434	361
546	435	361
547	437	360
548	438	360
549	439	359
550	440	359
551	441	358
552	443	358
553	444	357
554	445	357
555	446	356
556	448	356
557	450	356
558	451	356
559	452	355
560	454	355
561	456	355
562	458	355
563	459	355
564	460	354
565	461	354
566	462	353
567	463	352
568	464	352
569	466	351
570	468	351
571	469	351
572	470	350
573	471	350
574	472	349
575	473	348
576	474	347
577	475	346
578	476	346
579	477	345
580	478	345
581	479	344
582	480	343
583	481	343
584	482	342
585	483	341
586	484	340
587	485	339
588	485	339
589	486	338
590	487	337
591	489	337
592	490	336
593	491	335
594	493	335
595	495	335
596	498	336
597	499	335
598	500	335
599	501	334
600	502	333
601	504	333
602	505	332
603	506	332
604	507	331
605	509	330
606	510	330
607	511	329
608	512	328
609	513	328
610	514	327
611	515	326
612	516	325
613	517	325
614	518	324
615	520	324
616	522	324
617	523	323
618	524	323
619	525	322
620	526	321
621	527	320
622	528	320
623	530	319
624	531	318
625	532	317
626	533	317
627	534	316
628	536	316
629	538	316
630	540	316
631	541	315
632	543	314
633	543	313
634	544	313
635	545	312
636	546	311
637	548	311
638	549	310
639	550	309
640	552	309
641	553	308
642	554	307
643	556	307
644	557	306
645	559	306
646	560	305
647	561	305
